Name,Latitude,Longtitude
56a Crampton St,51.490688706885834, -0.10041231238469585
Cinema Museum,51.49233869184551, -0.10519737347539969
Clockwork Studios (Fred Karno's Fun Factory),51.4666214,-0.1029477
Dan Leno's House,51.47298936461922, -0.10727340302447828
Charles Dickens House, 51.52791483010891, -0.062431101592409916
The Dove, 51.49047549657488, -0.2348399695843901
Furnivall Sculling Club, 51.48990767151801, -0.23170178499606206
Rutland Arms,51.489683879704735, -0.23117607200187404
The Blue Boat (Fulham Reach),51.48721040595191, -0.226994508060959
Beatles Crossing Abbey Road, 51.532032505592746, -0.1773755969597501
Abbey Road Studios, 51.53207922470324, -0.17813197994118393
Puppet Theatre Barge at Little Venice,51.521636135592914, -0.1823693278886138
Lock Cottage (The Big Breakfast House),51.538256199338925, -0.02049304695151236
Mile End Skatepark,51.51757921784768, -0.031571001788118024
Surrey Dock Farm,51.49974671989287, -0.03368190000152152
The Nightjar Carnaby,51.512750300818674, -0.13851117211243638
Bourchier Street,51.51276308492181, -0.13312753131710212
Spirit of Soho Mural,51.51273694683899, -0.13822082297798308
Garrick's Temple to Shakespeare,51.41235732009523, -0.35941207150503085
Garrick's Villa,51.412633518908116, -0.3588233265957233
The Astoria Houseboat,51.41190437385396, -0.35809779039949796
Garrick's Alt,51.411611608437404, -0.36034548167056724
Tagg's Island (Fred Karno's Karsino Resort),51.40937118992173, -0.35312712077178654
Hampton Court Palace,51.40371637767376, -0.3377666461281069
St. Mary's Churchyard (Grave of Peg Woffington), 51.428531865370566, -0.3254029152253875
The Blue Anchor,51.489556952516466, -0.23086493574000766
The Old City Arms,51.48931645792755, -0.2290195758420415
25 Brompton Square,51.49826717963366,	-0.16941008810336824
George Smiley's House,51.49009000087824, -0.1640216015938261
56a Walworth Road - Austin Osman Spare's Studio (1937-38),51.493103055809996, -0.09922756036068175
Dorset Street - Worst Street in London, 51.5187408,-0.0754656
Blackwing Studios,51.5035004,-0.1003889
Conway Hall,51.519682816507995, -0.11840302857301713
The Captain Kidd,51.5032233,-0.0589519
The Prince of Teck,51.49276571491299, -0.1938062567812967
Crossbones Graveyard & Garden of Remembrance,51.503928892768684, -0.09342700159330501
Finborough Arms Theatre,51.48660929881269, -0.19009054392070418
Bailey Hotel, 51.49404110490591, -0.18256091280120967
The Astronomer,51.517878,-0.0785704
Mc & Sons,51.50381777903691, -0.09981689702192562
The World's End,51.539139545165604, -0.14219924876166118
The Underworld,51.539181252146754, -0.14209196039550034
Camden Head Pub,51.53730506704329, -0.14094048809614304
Vincent Van Gogh House,51.517878866981256, -0.12186445677320062
Vincent Van Gogh House (Lamberth),51.47450339703706, -0.11524191694087461
David Bowie Birthplace,51.46567002282875, -0.11857912150378548
East Street Market,51.489121977978385, -0.09084421316441635
The Blackfriar,51.5118276,-0.1038945
The Black Prince,51.489675461871464, -0.11215583043045961
The Blue Door from Notting Hill, 51.51679176315164, -0.20591061654396453
Bradley's Spanish Bar,51.5165172,-0.132908
Brompton Cemetery,51.48404293215298, -0.18979531586997964
The King's Head,51.4933916392863, -0.19261970159369277
Cable Street Mural,51.51096529848295, -0.05874703842080277
The Calder Bookshop & Theatre,51.503084247937245, -0.10710670159333761
The Commit No Nuisance Sign,51.5030151,-0.0969198
The Columbia Hotel,51.511516382070184, -0.17964619779850646
Dover Castle Bar,51.50051643112964, -0.09283810159342994
Draper Hall,51.4920935,-0.1014934
